"Tax_HotelID","Tax_HotelName","Tax_HotelAddress","Tax_City"
7229,"FORTUNA BAY UNITS","15425 FORTUNA BAY DR","CORPUS CHRISTI"
10418,"MYSTIC HARBOR UNIT 101","14428 COMPASS ST UNIT 101","CORPUS CHRISTI"
11205,"PUENTA VISTA UNIT 113","14300 ALOHA ST APT 113","CORPUS CHRISTI"
10417,"MYSTIC HARBOR UNIT #203","14428 COMPASS ST UNIT 203","CORPUS CHRISTI"
5188,"COMPASS UNIT A4","14427 COMPASS ST UNIT A4","CORPUS CHRISTI"
10419,"MYSTIC HARBOR UNIT 209","14428 COMPASS ST UNIT 209","CORPUS CHRISTI"
10416,"MYSTIC HARBOR UIT 104","14428 COMPASS ST UNIT 104","CORPUS CHRISTI"
10447,"NAUTILUS GALLERIA UNITS 123","14825 WINDWARD DR APT 123","CORPUS CHRISTI"
7228,"FORTUNA BAY UNIT 313","15425 FORTUNA BAY DR APT 313","CORPUS CHRISTI"
9560,"LAKESHORE VILLAS # 23","15125 LEEWARD DR","CORPUS CHRISTI"
8994,"JOHN MANCINI/ CESB","15309 BONASSE CT APT B","CORPUS CHRISTI"
9558,"LAKESHORE VILLA #11","15125 LEEWARD DR APT 11","CORPUS CHRISTI"
1445,"BEACH CLUB UNIT 190","14721 WHITECAP BLVD APT 190","CORPUS CHRISTI"
11206,"PUENTE VISTA UNIT 116","14300 ALOHA ST APT 116","CORPUS CHRISTI"
11027,"PIEMTE VISTA UNIT #147","14300 ALOHA ST APT 147","CORPUS CHRISTI"
12800,"SPINNAKER UNIT 107","14434 E CABANA ST APT 107","CORPUS CHRISTI"
9683,"LEEWARD COVE UNIT A5","15201 LEEWARD DR APT A5","CORPUS CHRISTI"
9684,"LEEWARD COVE UNIT B7","15201 LEEWARD DR","CORPUS CHRISTI"
5189,"COMPASS UNIT A9","14427 COMPASS ST UNIT A9","CORPUS CHRISTI"
5187,"COMPASS UNIT A10","14427 COMPASS ST UNIT A10","CORPUS CHRISTI"
12314,"SEAHORESE UNIT 206","14921 WINDWARD DR APT 206","CORPUS CHRISTI"
9539,"LAKE SHORE VILLA UNIT 10","15125 LEEWARD DR APT 10","CORPUS CHRISTI"
10036,"MARQUESAS UNIT 206","14521 E CABANA ST APT 206","CORPUS CHRISTI"
